name,bggId,atlasId,sarahsPick,quintonsPick
60 Second City,342019,1aejqgSTgu,,
Apples to Apples,74,sOC4PMWhs0,,
Azul,230802,i5Oqu5VZgP,TRUE,TRUE
Betrayal at House on the Hill,10547,3RVcHxhPEZ,,
Card of the Dead,129469,jnABEcP1jP,,
Clue: The Legend of Zelda,238041,HadZcxc0qp,,
Codenames,178900,GP7Y2xOUzj,TRUE,TRUE
Disney Pictopia,175739,xaOaIUKu90,,
Doomtown: Reloaded,156714,lfwZhL9pTi,,
Drinking Quest,182225,2kaM9GcM5z,,
Dutch Blitz,148203,IMoY1bGllC,,
For the Girls,318632,g4CCUrxed5,,
Friends Trivia Game,4694,aRbL0VYeXW,,
Game of Thrones: The Card Game,169255,oi6gk3J3n6,,
Guesstures,2379,zWT5t7EkBA,,
Istanbul,148949,b1nBQaNdH6,,TRUE
Jenga,2452,qokh2uvIjW,,
Monopoly,1406,fG5Ax8PA7n,,
Munchkin,1927,dgZDurgbuY,,
Phase 10,1258,hQLfeykeLS,,
Romance of the Nine Empires,143701,c15OYt6Dhb,,
Secret Hitler,188834,cb1DcPrnkz,,
Settlers of Catan,13,OIXt3DmJU0,TRUE,TRUE
Skip-Bo,1269,hXgYd0lNcF,,
Smash Up,122522,Q3EWjC8Dm7,,TRUE
Spot it!,63268,zOWVRE0eKL,,
The Chameleon,227072,xUxqs9Ynjm,,
The Game of Nasty Things,182090,alh3koKnec,,
Think N Sync,218459,UVONWX1mmF,,
Ticket to Ride: Europe,14996,GJ94Cl7cz5,,
Trains,121408,ojyWwY8ZYm,,
UNO,2223,Ad9NDUFxmt,,
Utter Nonsense,161928,jHSa1Yu1Cy,,
Valley of the Kings,150999,WYjFG2kHs0,,TRUE
Villainous,256382,XAI0dayGSY,,TRUE
What Do You Meme,226610,yMrh7geHaN,,
Wits and Wagers Party,123239,lkMaXkUNTT,,